"","curso","atividade_remunerada","tipo_atividade_remunerada","ingere_alcool","se_fornao_ja_ingeriu","bebe_onde","sintomas","frequencia","ja_teve_problemas","gasto_mensal","ja_tentou_parar","o_que_leva_a_beber"
"134","Matemática","Sim","Trabalho Integral (CLT)","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Não","Não bebo","Sim, e consegui",""
"135","Ciência da Computação","Não","Não realizo","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"136","Estatística","Sim","Trabalho Integral (CLT)","Sim","","Casa, Bares, Festas Universitárias","Amnésia alcóolica","Zero a uma vez","Nunca tive","50 a 100 reais","Sim, e consegui","O fato de Socialização "
"137","Estatística","Sim","Estágio","Sim","","Casa","Ressaca, Vômito","Zero a uma vez","Sim","50 a 100 reais","Sim, e consegui",""
"138","Química","Sim","Bolsista","Sim","","Casa, Bares, Festas Universitárias, Outros ambientes","Vômito, Amnésia alcóolica","Zero a uma vez","Nunca tive","20 a 50 reais","Sim, e consegui","Bebo socialmente ou porque a bebida é muito boa (sabor)"
"139","Estatística","Não","Não realizo","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"140","Ciência da Computação","Não","Não realizo","Não","Não","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"141","Informática","Sim","Trabalho Integral (CLT)","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"142","Ciência da Computação","Não","Não realizo","Sim","","Casa, Bares, Festas Universitárias","Ressaca","Zero a uma vez","Não","20 a 50 reais","Sim, e consegui","o sabor do chop geladinho "
"143","Química","Não","Não realizo","Sim","","Bares, Festas Universitárias","Vômito, Amnésia alcóolica","Uma a duas vezes","Não","50 a 100 reais","Sim, e consegui","Bebo socialmente e para aliviar o estresse "
"144","Química","Sim","Bolsista","Sim","","Casa, Bares, Outros ambientes","Nunca tive nenhum sintoma","Zero a uma vez","Nunca tive","0 a 20 reais","","Confraternizações, sair com os amigos/família, e afins, mas sempre com consciência."
"145","Química","Sim","Trabalho Integral (CLT)","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo","NÃO BEBO. PORQUE SOU UMA NOVA CRIATURA EM CRISTO JESUS. AS COISAS VELHAS SE FORAM E EIS QUE TUDO SE FEZ NOVO EM MIM. ""DISSE-LHES JESUS: EU SOU O CAMINHO E A VERDADE E A VIDA. NINGUÉM VAI AO PAI SENÃO POR MIM"" (JOÃO 14:6)."
"146","Ciência da Computação","Não","Não realizo","Sim","","Casa, Bares","Nunca tive nenhum sintoma","Zero a uma vez","Nunca tive","0 a 20 reais","","Momento de lazer e apreciação da cerveja artesanal "
"147","Estatística","Sim","Bolsista","Sim","","Bares, Festas Universitárias","Ressaca, Vômito, Amnésia alcóolica","Zero a uma vez","Não","0 a 20 reais","","Sair com os amigos e festas "
"148","Matemática","Sim","Bolsista","Não","Não","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"149","Ciência da Computação","Não","Não realizo","Sim","","Casa, Festas Universitárias","Ressaca","Uma a duas vezes","Sim","20 a 50 reais","Sim, e consegui","Distração e esquecer um pouco dos problemas."
